code,module,title,origin,occurred_at,reason,strategy,department,priority,follow_up,status,source
IN001,"Agendamiento
(contact)",Reservas en otro Facility,Actualizacion,2026-05-27T12:00:00-04:00,"Problema de unificación de 057 y 067, sistema de cadenas en prestadores",-,Alma,media,solucionado en update de 15/06,resuelta,excel
IN002,"Agendamiento
(contact)",Formato Ingles fecha de nacimiento / error de validacion,Actualizacion,2026-05-27T12:00:00-04:00,problema de insercion de data,,Alma,media,solucionado en update de 15/06,resuelta,excel
IN003,Impresoras,Reemplazo de Impresoras,Operacion,2026-05-27T12:00:00-04:00,Desgaste y mal uso de impresora,Cambiar Impresoras Laser por Termica,GTI,baja,Solucionado,resuelta,excel
IN004,"Agendamiento
(contact)","No permite hacer agendamientos, Prestaciones tienen muchas opciones de agendamiento, lo que genera timeout y falta de capacidad instalada",Actualizacion,2026-05-28T12:00:00-04:00,,"Reduccion de capacidad en consulta, ecografias partes blandas",Alma,alta,validar con JMR,nueva,excel
IN005,"Agendamiento
(contact)",Sobrecupo no habilitado,Actualizacion,2026-05-28T12:00:00-04:00,Solo fue algunas cajas no se probo dental,,Alma,media,solucionado en update de 15/06,resuelta,excel
IN006,,Problema WordList - Equipo no era capaz de leer la cola,Recurrente,2026-05-29T12:00:00-04:00,"Algunos equipos tienen problemas de conectividad, es como un servicio correo, equipo medico va a buscar","Agregar TLS a la comunicacion, sticker",GTI,media,Solucionado,resuelta,excel
IN007,"Agendamiento
(contact)",Venta de dental - El que va a buscar el dato del derivador no lo encontraba API antigua,Actualizacion,2026-05-29T12:00:00-04:00,No se Probo,Revision y actualizacion de APIs antiguas,Alma,media,aclarar que API dental es diferente a API de Alma,nueva,excel
IN008,,Incompatibilidad de Equipos de Ginecologia,Actualizacion,2026-05-29T12:00:00-04:00,"CoreOS valida el nombre del serv, chrome actualizar","Inventario y obscolencia, hacer pedidas",GTI,media,Solucionado,resuelta,excel
IN009,,Incompatibilidad de PACS,Historico,2026-05-29T12:00:00-04:00,,,GTI,media,Solucionado,resuelta,excel
IN010,Agendamiento (contact),Confirmación automática no operativa (parcial),Operacion,2026-06-01T12:00:00-04:00,Proceso de confirmación no ejecutando correctamente (107/288),Revisar jobs y logs de automatización,Alma,media,Solucionado,resuelta,excel
IN011,Admisión / Tótem,Compra en tótem no genera Orden de Atención (ID),Operacion,2026-06-01T12:00:00-04:00,Flujo incompleto post pago / integración,Validar integración tótem-HIS,Alma,alta,Solucionado,resuelta,excel
IN012,Caja / Pagos,Error de comunicación Transbank caja 3,Operacion,2026-06-01T12:00:00-04:00,Problema de conectividad POS,Revisión de red y configuración terminal,GTI,media,Solucionado,resuelta,excel
IN013,Cardiología,Error al subir estudios Holter (Codepscs),Operacion,2026-06-01T12:00:00-04:00,Error aplicación o integración estudios,Revisar logs y servicio backend,Alma,alta,Solucionado,resuelta,excel
IN014,Agendamiento (contact),Persistencia agendamiento incorrecto entre 057 y 067,Actualizacion,2026-06-01T12:00:00-04:00,Reglas de negocio no corregidas completamente,Revisión lógica de agenda y auditoría,Alma,media,solucionado en update de 15/06,resuelta,excel
IN015,Pricing / Cotizador,Inconsistencia en precios de contraste (50ml vs 100ml),Actualizacion,2026-05-30T12:00:00-04:00,"Desalineación entre Excel, chatbot y sistema",Unificar fuente de precios,Comercial/Alma,media,Solucionado,resuelta,excel
IN016,Chatbot / WhatsApp,Bloqueo de cuenta Meta (API WhatsApp) en entorno DEV,Operacion,2026-05-30T12:00:00-04:00,Cuenta bloqueada por Meta impidiendo uso de API WhatsApp,Gestión con Meta / revisión compliance API / habilitación cuenta,Integraciones,media,Solucionado,resuelta,excel
IN017,Agendamiento / Caja,Paciente agendado no aparece en caja correcta (057 vs 067),Operacion,2026-06-02T12:00:00-04:00,Desalineación entre agenda y cajas,Revisar integración agenda-caja y mapping de sucursales,Alma,alta,solucionado en update de 15/06,resuelta,excel
IN018,Kioskos / Tótem,Caída de tótems sin venta en Talagante y La Cisterna,Operacion,2026-06-02T12:00:00-04:00,Falla API reportada por Mobius sin claridad de causa,Escalar con Mobius y revisar disponibilidad API,Integraciones,alta,Solucionado,resuelta,excel
IN019,Caja / IMED,Venta se registra en cajero incorrecto (usuario antiguo),Operacion,2026-06-02T12:00:00-04:00,Problema de actualización de usuario en sistema,Revisión de sincronización de usuarios,Integraciones,media,Solucionado,resuelta,excel
IN020,Caja / IMED,"No genera venta, bono ni boleta en sucursal LC",Operacion,2026-06-02T12:00:00-04:00,Falla en flujo de emisión de documentos,Escalar con desarrollo Mobius,Integraciones,alta,Solucionado,resuelta,excel
IN021,Dental / Facturación,Boletas no reflejan profesional correcto,Operacion,2026-06-02T12:00:00-04:00,Error de asignación de profesional en sistema,Revisión lógica de configuración de prestadores,Alma,media,Solucionado,resuelta,excel
IN022,Caja,Error 500 que impide ingreso a cajas (múltiples cajeros),Operacion,2026-06-02T12:00:00-04:00,Error backend / servicio cajas,Revisión logs backend + servicios de autenticación,Alma,alta,Solucionado,resuelta,excel
IN023,Caja,"No permite operar cajas, venta manual directa",Operacion,2026-06-02T12:00:00-04:00,Caída parcial sistema caja,Contingencia manual + estabilización sistema,Alma,alta,Solucionado,resuelta,excel
IN024,Worklist / Exámenes,Caída de worklist en BOX 1 – La Cisterna,Operacion,2026-06-02T12:00:00-04:00,Falla en servicio de integración clínica,Revisión conectividad + servicio worklist,GTI,alta,Solucionado,resuelta,excel
IN025,Chatbot / IA / Cotizador,Cotización incorrecta (113.060 vs 31.750 Fonasa),Actualizacion,2026-06-02T12:00:00-04:00,Error en reglas IA / formato especial no considerado,Re-entrenamiento + validaciones,Integraciones / Comercial,alta,Solucionado,resuelta,excel
